slug,name,type,categories,target,fit,effort,existing,privileged,arm,updateable,port,rationale,website,documentation
blocky,Blocky,lxc,Adblock & DNS,homelab,good,low,,false,false,true,4000,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://0xerr0r.github.io/blocky/,https://0xerr0r.github.io/blocky/latest/configuration/
deluge,Deluge,lxc,Files & Downloads,homelab,good,low,,false,false,true,8112,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://www.deluge-torrent.org/,https://www.deluge-torrent.org/userguide/
flaresolverr,FlareSolverr,lxc,*Arr Suite,homelab,good,low,,false,false,true,8191,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/FlareSolverr/FlareSolverr,https://github.com/FlareSolverr/FlareSolverr/blob/master/README.md
immich,Immich,lxc,Media & Streaming,homelab,good,low,,false,false,true,2283,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://immich.app,https://immich.app/docs/overview/introduction
jellyfin,Jellyfin Media Server,lxc,Media & Streaming,homelab,good,low,,false,false,true,8096,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://jellyfin.org/,https://jellyfin.org/docs/
komga,Komga,lxc,Media & Streaming,homelab,good,low,,false,false,true,25600,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://komga.org/,https://komga.org/docs/introduction
lidarr,Lidarr,lxc,*Arr Suite,homelab,good,low,,false,false,true,8686,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://lidarr.audio/,https://wiki.servarr.com/en/lidarr
mealie,Mealie,lxc,Media & Streaming,homelab,good,low,,false,false,true,9000,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://mealie.io/,https://mealie.io/
metube,MeTube,lxc,Files & Downloads,homelab,good,low,,false,false,true,8081,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/alexta69/metube,https://github.com/alexta69/metube/blob/master/README.md
navidrome,Navidrome,lxc,Media & Streaming,homelab,good,low,,false,false,true,4533,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://www.navidrome.org/,https://www.navidrome.org/docs/
ombi,Ombi,lxc,Media & Streaming,homelab,good,low,,false,false,true,5000,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://ombi.io/,https://docs.ombi.app/
photoprism,PhotoPrism,lxc,Media & Streaming,homelab,good,low,,false,false,true,2342,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://photoprism.app/,https://docs.photoprism.app/
plex,Plex Media Server,lxc,Media & Streaming,homelab,good,low,,false,false,true,32400,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://www.plex.tv/,https://support.plex.tv/articles/
prowlarr,Prowlarr,lxc,*Arr Suite,homelab,good,low,,false,false,true,9696,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/Prowlarr/Prowlarr,https://wiki.servarr.com/prowlarr
qbittorrent,qBittorrent,lxc,Files & Downloads,homelab,good,low,,false,false,true,8090,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://www.qbittorrent.org/,https://github.com/qbittorrent/qBittorrent/wiki/
radarr,Radarr,lxc,*Arr Suite,homelab,good,low,,false,false,true,7878,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://radarr.video/,https://wiki.servarr.com/radarr
sabnzbd,SABnzbd,lxc,Files & Downloads,homelab,good,low,,false,false,true,7777,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://sabnzbd.org/,https://sabnzbd.org/wiki/
sonarr,Sonarr,lxc,*Arr Suite,homelab,good,low,,false,false,true,8989,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://sonarr.tv/,https://wiki.servarr.com/sonarr
tautulli,Tautulli,lxc,Media & Streaming,homelab,good,low,,false,false,true,8181,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://tautulli.com/,https://github.com/Tautulli/Tautulli/wiki
transmission,Transmission,lxc,Files & Downloads,homelab,good,low,,false,false,true,9091,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://transmissionbt.com/,https://github.com/transmission/transmission/blob/main/docs/README.md
ampache,Ampache,lxc,Media & Streaming,homelab,good,medium,,false,false,true,80,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://ampache.org/,https://github.com/ampache/ampache/wiki
autocaliweb,Autocaliweb,lxc,Media & Streaming,homelab,good,medium,,false,false,true,8083,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://codeberg.org/gelbphoenix/autocaliweb,https://codeberg.org/gelbphoenix/autocaliweb/wiki
byparr,Byparr,lxc,*Arr Suite,homelab,good,medium,,false,false,true,8191,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/ThePhaseless/Byparr,https://github.com/ThePhaseless/Byparr/blob/master/README.md
calibre-web,Calibre-Web,lxc,Media & Streaming,homelab,good,medium,,false,false,true,8083,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/janeczku/calibre-web,https://github.com/janeczku/calibre-web/wiki
cleanuparr,Cleanuparr,lxc,*Arr Suite,homelab,good,medium,,false,false,true,11011,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/Cleanuparr/Cleanuparr,https://cleanuparr.github.io/Cleanuparr/docs/
configarr,Configarr,lxc,*Arr Suite,homelab,good,medium,,false,false,true,8989,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://configarr.raydak.de/,https://configarr.raydak.de/docs/intro
cross-seed,cross-seed,lxc,*Arr Suite,homelab,good,medium,,false,false,true,2468,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://www.cross-seed.org/,https://www.cross-seed.org/docs/category/basics
ebusd,ebusd,lxc,IoT & Smart Home,homelab,good,medium,,false,false,true,,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/john30/ebusd,https://github.com/john30/ebusd/wiki
emby,Emby Media Server,lxc,Media & Streaming,homelab,good,medium,,false,false,true,8096,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://emby.media/,https://emby.media/support/articles/Home.html
ersatztv,ErsatzTV,lxc,Media & Streaming,homelab,good,medium,,false,false,true,8409,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://ersatztv.org/,https://ersatztv.org/docs/intro
espconnect,ESPConnect,lxc,IoT & Smart Home; AI / Coding & Dev-Tools,homelab,good,medium,,false,false,true,443,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/thelastoutpostworkshop/ESPConnect,https://github.com/thelastoutpostworkshop/ESPConnect
esphome,ESPHome,lxc,IoT & Smart Home,homelab,good,medium,,false,false,true,6052,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://esphome.io/,https://esphome.io/components/
evcc,evcc,lxc,IoT & Smart Home,homelab,good,medium,,false,false,true,7070,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://evcc.io/en/,https://evcc.io/#devices
fhem,FHEM,lxc,IoT & Smart Home,homelab,good,medium,,false,false,true,8083,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://fhem.de/,https://fhem.de/#Documentation
fileflows,FileFlows,lxc,Media & Streaming,homelab,good,medium,,false,false,true,19200,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://fileflows.com/,https://fileflows.com/docs
fladder,Fladder,lxc,Media & Streaming,homelab,good,medium,,false,false,true,80,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/DonutWare/Fladder,https://github.com/DonutWare/Fladder/blob/develop/INSTALL.md#ubuntudebian
go2rtc,go2rtc,lxc,NVR & Cameras,homelab,good,medium,,false,false,true,1984,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/AlexxIT/go2rtc,https://github.com/AlexxIT/go2rtc/blob/master/README.md
guardian,Guardian,lxc,Media & Streaming,homelab,good,medium,,false,false,true,3000,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/HydroshieldMKII/Guardian,https://github.com/HydroshieldMKII/Guardian/blob/main/README.md
homeassistant,Home Assistant Container,lxc,IoT & Smart Home,homelab,good,medium,,false,false,true,8123,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://www.home-assistant.io/,https://www.home-assistant.io/docs/
homebridge,Homebridge,lxc,IoT & Smart Home,homelab,good,medium,,false,false,true,8581,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://homebridge.io/,https://github.com/homebridge/homebridge/wiki
hyperion,Hyperion,lxc,Media & Streaming,homelab,good,medium,,false,false,true,8090,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://hyperion-project.org/forum/,https://docs.hyperion-project.org/
immichframe,ImmichFrame,lxc,Media & Streaming,homelab,good,medium,,false,false,true,8080,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,,
iobroker,ioBroker,lxc,IoT & Smart Home,homelab,good,medium,,false,false,true,8081,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://www.iobroker.net/#en/intro,https://www.iobroker.net/#en/documentation
isponsorblocktv,iSponsorBlockTV,lxc,Media & Streaming,homelab,good,medium,,false,false,true,,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/dmunozv04/iSponsorBlockTV,https://github.com/dmunozv04/iSponsorBlockTV/wiki
jackett,Jackett,lxc,Files & Downloads,homelab,good,medium,,false,false,true,9117,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/Jackett/Jackett,https://github.com/Jackett/Jackett/wiki
jeedom,Jeedom,lxc,IoT & Smart Home,homelab,good,medium,,false,false,true,80,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://jeedom.com/,https://doc.jeedom.com
kapowarr,Kapowarr,lxc,*Arr Suite,homelab,good,medium,,false,false,true,5656,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://casvt.github.io/Kapowarr/,https://casvt.github.io/Kapowarr/general_info/workings/
kavita,Kavita,lxc,Media & Streaming,homelab,good,medium,,false,false,true,5000,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://www.kavitareader.com/,https://wiki.kavitareader.com/getting-started/
kima-hub,Kima-Hub,lxc,Media & Streaming,homelab,good,medium,,false,false,true,3030,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/Chevron7Locked/kima-hub,https://github.com/Chevron7Locked/kima-hub#readme
kitchenowl,KitchenOwl,lxc,Media & Streaming,homelab,good,medium,,false,false,true,80,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://kitchenowl.org/,https://docs.kitchenowl.org/
koel,Koel,lxc,Media & Streaming,homelab,good,medium,,false,false,true,80,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://koel.dev/,https://docs.koel.dev/
kometa,Kometa,lxc,Media & Streaming,homelab,good,medium,,false,false,true,,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/Kometa-Team/Kometa,https://kometa.wiki/en/latest/
lazylibrarian,LazyLibrarian,lxc,Media & Streaming,homelab,good,medium,,false,false,true,5299,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://gitlab.com/LazyLibrarian/LazyLibrarian,https://lazylibrarian.gitlab.io/lazylibrarian.gitlab.io/
lychee,Lychee,lxc,Media & Streaming,homelab,good,medium,,false,false,true,80,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://lycheeorg.github.io/,https://lycheeorg.dev/docs
lyrionmusicserver,Lyrion Music Server,lxc,Media & Streaming,homelab,good,medium,,false,false,true,9000,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://lyrion.org/,https://lyrion.org/
mediamanager,MediaManager,lxc,*Arr Suite; Media & Streaming,homelab,good,medium,,false,false,true,8000,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/maxdorninger/MediaManager,https://maxdorninger.github.io/MediaManager/latest/
mediamtx,MediaMTX,lxc,Media & Streaming,homelab,good,medium,,false,false,true,,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/bluenviron/mediamtx,https://github.com/bluenviron/mediamtx/blob/main/README.md
medusa,Medusa,lxc,Media & Streaming,homelab,good,medium,,false,false,true,8081,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://pymedusa.com/,https://github.com/pymedusa/Medusa/wiki
miniflux,Miniflux,lxc,Media & Streaming,homelab,good,medium,,false,false,true,8080,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://miniflux.app/,https://miniflux.app/docs/index.html
neko,Neko,lxc,Media & Streaming,homelab,good,medium,,false,false,true,8080,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://neko.m1k1o.net/,https://neko.m1k1o.net/docs/v3/configuration
nextpvr,NextPVR,lxc,Media & Streaming,homelab,good,medium,,false,false,true,8866,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://nextpvr.com/,https://github.com/sub3/NextPVR/wiki
node-red,Node-Red,lxc,IoT & Smart Home,homelab,good,medium,,false,false,true,1880,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://nodered.org/,https://nodered.org/docs/
nodecast-tv,nodecast-tv,lxc,Media & Streaming,homelab,good,medium,,false,false,true,3000,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/technomancer702/nodecast-tv,https://github.com/technomancer702/nodecast-tv/blob/main/README.md
notifiarr,Notifiarr,lxc,*Arr Suite,homelab,good,medium,,false,false,true,5454,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://notifiarr.com/,https://notifiarr.wiki/
nzbget,NZBGet,lxc,Files & Downloads,homelab,good,medium,,false,false,true,6789,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://nzbget.com/,https://nzbget.com/documentation/
omada,Omada Controller,lxc,Network & Firewall,homelab,good,medium,,false,false,true,8043,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://www.tp-link.com/us/support/download/omada-software-controller/,
openhab,openHAB,lxc,IoT & Smart Home,homelab,good,medium,,false,false,true,8443,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://www.openhab.org/,https://www.openhab.org/docs/
owncast,Owncast,lxc,Media & Streaming,homelab,good,medium,,false,false,true,8080,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://owncast.online/,https://owncast.online/docs/
profilarr,Profilarr,lxc,*Arr Suite,homelab,good,medium,,false,false,true,6868,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/Dictionarry-Hub/profilarr,https://github.com/Dictionarry-Hub/profilarr#readme
rdtclient,Real-Debrid Torrent Client,lxc,Files & Downloads,homelab,good,medium,,false,false,true,6500,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/rogerfar/rdt-client,https://github.com/rogerfar/rdt-client/blob/main/README.md
recyclarr,Recyclarr,lxc,*Arr Suite,homelab,good,medium,,false,false,true,,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://recyclarr.dev/,https://recyclarr.dev/wiki/
scraparr,Scraparr,lxc,*Arr Suite,homelab,good,medium,,false,false,true,7100,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/thecfu/scraparr,https://github.com/thecfu/scraparr/blob/main/README.md
seerr,Seerr,lxc,Media & Streaming,homelab,good,medium,,false,false,true,5055,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://seerr.dev/,https://docs.seerr.dev/
shelfmark,Shelfmark,lxc,Media & Streaming,homelab,good,medium,,false,false,true,8084,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/calibrain/shelfmark,https://github.com/calibrain/shelfmark/tree/main/docs
slskd,Slskd,lxc,Files & Downloads,homelab,good,medium,,false,false,true,5030,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/slskd/slskd,https://github.com/slskd/slskd/tree/master/docs
sonobarr,Sonobarr,lxc,*Arr Suite,homelab,good,medium,,false,false,true,5000,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/Dodelidoo-Labs/sonobarr,https://github.com/Dodelidoo-Labs/sonobarr
soulsync,SoulSync,lxc,Media & Streaming,homelab,good,medium,,false,false,true,8008,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/Nezreka/SoulSync,https://github.com/Nezreka/SoulSync#readme
spoolman,Spoolman,lxc,Gaming & Leisure,homelab,good,medium,,false,false,true,7912,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/Donkie/Spoolman,https://github.com/Donkie/Spoolman/wiki/Installation
sportarr,Sportarr,lxc,*Arr Suite,homelab,good,medium,,false,false,true,1867,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://sportarr.net/,https://sportarr.net/docs
storyteller,Storyteller,lxc,Media & Streaming,homelab,good,medium,,false,false,true,8001,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://storyteller-platform.dev/,https://storyteller-platform.dev/docs/welcome
tasmoadmin,TasmoAdmin,lxc,IoT & Smart Home,homelab,good,medium,,false,false,true,9999,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/TasmoAdmin/TasmoAdmin#readme,
tasmocompiler,TasmoCompiler,lxc,IoT & Smart Home,homelab,good,medium,,false,false,true,3000,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/benzino77/tasmocompiler,https://github.com/benzino77/tasmocompiler/blob/master/README.md
tdarr,Tdarr,lxc,*Arr Suite,homelab,good,medium,,false,false,true,8265,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://tdarr.io/,https://docs.tdarr.io/docs/welcome/what
teddycloud,TeddyCloud,lxc,Media & Streaming,homelab,good,medium,,false,false,true,80,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://tonies-wiki.revvox.de/docs/tools/teddycloud/,https://tonies-wiki.revvox.de/docs/tools/teddycloud/
threadfin,Threadfin,lxc,Media & Streaming,homelab,good,medium,,false,false,true,34400,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/Threadfin/Threadfin,https://github.com/xteve-project/xTeVe-Documentation/blob/master/en/configuration.md
tracearr,Tracearr,lxc,*Arr Suite,homelab,good,medium,,false,false,true,3000,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/connorgallopo/Tracearr,https://github.com/connorgallopo/Tracearr#readme
tubearchivist,Tube Archivist,lxc,Media & Streaming,homelab,good,medium,,false,false,true,8000,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/tubearchivist/tubearchivist,https://docs.tubearchivist.com/
tunarr,Tunarr,lxc,Media & Streaming,homelab,good,medium,,false,false,true,8000,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://tunarr.com/,https://tunarr.com/
uhf,UHF Server,lxc,Media & Streaming,homelab,good,medium,,false,false,true,7568,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://www.uhfapp.com/,https://www.uhfapp.com/server
umlautadaptarr,UmlautAdaptarr,lxc,*Arr Suite,homelab,good,medium,,false,false,true,5005,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/PCJones/UmlautAdaptarr,https://github.com/PCJones/UmlautAdaptarr/blob/master/README.md
watcharr,Watcharr,lxc,Media & Streaming,homelab,good,medium,,false,false,true,3080,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://watcharr.app/,https://watcharr.app/docs/introduction
whisparr,Whisparr,lxc,*Arr Suite,homelab,good,medium,,false,false,true,6969,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/Whisparr/Whisparr,https://wiki.servarr.com/en/whisparr
wizarr,Wizarr,lxc,*Arr Suite; Media & Streaming,homelab,good,medium,,false,false,true,5690,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://docs.wizarr.dev/,https://docs.wizarr.dev/
yamtrack,Yamtrack,lxc,Media & Streaming,homelab,good,medium,,false,false,true,8000,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/FuzzyGrim/Yamtrack,https://github.com/FuzzyGrim/Yamtrack/wiki
yubal,Yubal,lxc,Media & Streaming,homelab,good,medium,,false,false,true,8000,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/guillevc/yubal,https://github.com/guillevc/yubal/blob/master/README.md
agentdvr,AgentDVR,lxc,NVR & Cameras,homelab,possible,high,,true,false,true,8090,"Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent. Upstream marks the LXC privileged, so Kubernetes capabilities, hostPath, devices, or hostNetwork need explicit review.",https://www.ispyconnect.com/,https://www.ispyconnect.com/docs/agent/about
channels,Channels DVR Server,lxc,Media & Streaming,homelab,possible,high,,true,false,false,8089,"Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent. Upstream marks the LXC privileged, so Kubernetes capabilities, hostPath, devices, or hostNetwork need explicit review.",https://getchannels.com/dvr-server/,https://getchannels.com/docs/getting-started/quick-start-guide/
deconz,deCONZ,lxc,"ZigBee, Z-Wave & Matter",homelab,possible,high,,true,false,true,80,"Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent. Upstream marks the LXC privileged, so Kubernetes capabilities, hostPath, devices, or hostNetwork need explicit review.",https://www.phoscon.de/en/conbee2/software#deconz,https://github.com/dresden-elektronik/deconz-rest-plugin/wiki
frigate,Frigate,lxc,NVR & Cameras,homelab,possible,high,,false,false,false,5000,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://frigate.video/,https://docs.frigate.video/
gluetun,Gluetun,lxc,Network & Firewall,homelab,possible,high,,false,false,true,8000,"Network/DNS services usually need LAN proximity, host networking, or explicit Service/LoadBalancer planning.",https://github.com/qdm12/gluetun,https://github.com/qdm12/gluetun-wiki
hyperhdr,HyperHDR,lxc,Media & Streaming,homelab,possible,high,,true,false,true,8090,"Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent. Upstream marks the LXC privileged, so Kubernetes capabilities, hostPath, devices, or hostNetwork need explicit review.",https://github.com/awawa-dev/HyperHDR,https://github.com/awawa-dev/HyperHDR/wiki
matter-server,Matter Server,lxc,"ZigBee, Z-Wave & Matter",homelab,possible,high,,false,false,true,5580,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/matter-js/python-matter-server,https://github.com/matter-js/python-matter-server
matterbridge,Matterbridge,lxc,"ZigBee, Z-Wave & Matter",homelab,possible,high,,false,false,true,8283,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/Luligu/matterbridge,https://github.com/Luligu/matterbridge/blob/main/README.md
motioneye,MotionEye NVR,lxc,NVR & Cameras,homelab,possible,high,,false,false,true,8765,Best placed in homelab Kubernetes because it is media/LAN/home-automation/storage/device adjacent.,https://github.com/motioneye-project/motioneye,https://github.com/motioneye-project/motioneye/wiki
